Point coordinates for job mesures loc avec TSCF

    Point        East        North       Elev            Code         HzPrec  VtPrec  PDOP Sats
RTCM0000      1733407.443  5237904.958  289.156                             ?       ?    ?    ?
TRAJ001       1733407.661  5237870.058  280.186                         0.007   0.008  1.1   24
TRAJ002       1733408.190  5237870.553  280.176                         0.009   0.011  1.1   24
TRAJ003       1733408.744  5237871.039  280.163                         0.008   0.009  1.1   24
TRAJ004       1733409.341  5237871.590  280.156                         0.007   0.009  1.0   24
TRAJ005       1733409.964  5237872.174  280.168                         0.007   0.010  1.0   25
TRAJ006       1733410.518  5237872.721  280.146                         0.009   0.014  1.0   24
TRAJ007       1733411.153  5237873.325  280.138                         0.006   0.009  1.0   25
TRAJ008       1733411.690  5237873.854  280.120                         0.007   0.010  1.0   25
TRAJ009       1733412.264  5237874.393  280.100                         0.007   0.008  1.1   23
TRAJ010       1733412.854  5237874.926  280.083                         0.008   0.014  1.1   22
TRAJ011       1733413.369  5237875.462  280.066                         0.007   0.009  1.1   22
TRAJ012       1733413.946  5237875.992  280.056                         0.007   0.010  1.1   23
TRAJ013       1733414.599  5237876.604  280.034                         0.007   0.011  1.1   23
TRAJ014       1733415.180  5237877.150  280.023                         0.008   0.014  1.1   21
TRAJ015       1733415.701  5237877.621  280.014                         0.009   0.016  1.3   20
TRAJ016       1733416.300  5237878.139  280.006                         0.010   0.018  1.1   22
TRAJ017       1733416.786  5237878.579  280.014                         0.008   0.011  1.2   21
TRAJ018       1733417.309  5237879.065  280.030                         0.009   0.013  1.2   22
TRAJ019       1733417.887  5237879.562  280.015                         0.008   0.012  1.1   23
TRAJ020       1733418.494  5237880.035  280.029                         0.009   0.015  1.1   23
TRAJ021       1733419.083  5237880.552  280.020                         0.009   0.014  1.1   23
TRAJ022       1733419.710  5237881.056  280.045                         0.009   0.017  1.1   23
TRAJ023       1733420.264  5237881.523  280.051                         0.009   0.014  1.1   23
TRAJ024       1733420.936  5237882.016  280.064                         0.010   0.017  1.1   24
TRAJ025       1733421.514  5237882.455  280.087                         0.010   0.016  1.0   24
TRAJ026       1733422.170  5237882.932  280.130                         0.013   0.019  1.0   24
TRAJ027       1733422.788  5237883.419  280.139                         0.011   0.015  1.0   25
TRAJ028       1733423.502  5237883.906  280.151                         0.009   0.012  1.1   24
TRAJ029       1733424.113  5237884.333  280.128                         0.012   0.020  1.2   23
TRAJ030       1733424.706  5237884.724  280.227                         0.011   0.027  1.1   23
TRAJ031       1733425.243  5237885.145  280.191                         0.010   0.023  1.2   22
TRAJ032       1733425.939  5237885.613  280.193                         0.015   0.034  1.2   22
TRAJ033       1733426.592  5237886.171  280.170                         0.035   0.063  1.2   22
TRAJ034       1733427.221  5237886.586  280.133                         0.046   0.080  1.2   20
TRAJ035       1733427.795  5237887.006  280.269                         0.058   0.102  1.1   22
TRAJ036       1733428.473  5237887.532  280.305                         0.066   0.112  1.1   23
TRAJ037       1733429.146  5237888.056  280.340                         0.079   0.151  1.2   22
TRAJ038       1733429.742  5237888.524  280.288                         0.089   0.181  1.1   23
TRAJ039       1733431.389  5237889.462  280.323                         0.036   0.063  1.1   24
TRAJ040       1733431.942  5237889.804  280.378                         0.050   0.092  1.2   23
TRAJ041       1733432.551  5237890.216  280.349                         0.062   0.117  1.1   21
TRAJ042       1733433.259  5237890.669  281.156                         0.075   0.148  1.4   23
TRAJ043       1733433.898  5237891.170  280.941                         0.086   0.174  1.2   23
TRAJ044       1733434.539  5237891.689  280.838                         0.095   0.210  1.1   22
TRAJ045       1733433.749  5237892.115  280.169                         0.046   0.092  1.1   22
TRAJ046       1733434.307  5237892.640  280.218                         0.029   0.071  1.2   21
TRAJ047       1733434.848  5237893.109  280.052                         0.047   0.081  1.1   22
TRAJ048       1733435.513  5237893.631  280.025                         0.069   0.117  1.2   21
TRAJ049       1733436.113  5237893.947  279.840                         0.082   0.146  1.1   22
TRAJ050       1733436.744  5237894.309  279.809                         0.097   0.165  1.1   22
TRAJ051       1733437.368  5237894.561  279.805                         0.103   0.178  1.2   23
TRAJ052       1733437.921  5237894.762  279.607                         0.112   0.197  1.2   20
TRAJ053       1733438.490  5237894.894  279.597                         0.119   0.218  1.3   20
TRAJ054       1733439.126  5237894.845  279.707                         0.132   0.241  1.2   22
TRAJ055       1733439.952  5237894.537  281.563                         0.069   0.136  1.5   22
TRAJ056       1733440.591  5237894.350  281.523                         0.082   0.159  1.3   21
TRAJ057       1733441.213  5237894.055  281.556                         0.095   0.193  1.3   23
TRAJ058       1733442.293  5237894.357  280.226                         0.068   0.115  1.3   22
TRAJ059       1733442.797  5237894.049  280.437                         0.085   0.142  1.3   20
TRAJ060       1733443.132  5237893.682  280.062                         0.091   0.119  1.2   19
TRAJ061       1733443.549  5237893.292  280.128                         0.098   0.141  1.3   21
TRAJ062       1733444.000  5237892.818  280.163                         0.105   0.157  1.2   20
TRAJ063       1733444.414  5237892.295  280.036                         0.112   0.175  1.3   19
TRAJ064       1733444.880  5237891.654  280.286                         0.319   0.428  1.2   21
TRAJ065       1733445.238  5237891.210  280.145                         0.323   0.446  1.4   22
TRAJ066       1733446.187  5237888.671  287.471                         0.240   0.550  1.1   21
TRAJ067       1733445.170  5237888.510  282.644                         0.123   0.182  1.4   22
TRAJ068       1733445.397  5237887.911  282.595                         0.133   0.197  1.2   21
TRAJ069       1733445.624  5237887.447  282.606                         0.159   0.242  1.1   23
TRAJ070       1733446.564  5237887.935  280.192                         0.024   0.042  1.2   22
TRAJ071       1733446.774  5237887.270  280.152                         0.012   0.016  1.1   24
TRAJ072       1733447.051  5237886.443  280.117                         0.013   0.018  1.1   23
TRAJ073       1733447.232  5237885.649  280.078                         0.016   0.025  1.1   23
TRAJ074       1733447.421  5237884.763  280.133                         0.013   0.021  1.1   24
TRAJ075       1733447.549  5237884.070  280.112                         0.013   0.023  1.1   24
