Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;-24029,947;380,319;-174,336;0,101;0,001;0,078;0,064;RRR 1.5in;9,1;991;30;'26.11.2024 10:06:51.176;;
2;-23898,043;1872,744;-812,314;0,058;0,004;0,044;0,038;RRR 1.5in;8,7;991;30;'26.11.2024 10:17:44.087;;
3;-34294,604;3644,483;-434,924;0,272;0,018;0,163;0,217;RRR 1.5in;8,8;991;30;'26.11.2024 10:22:23.446;;
4;-43604,290;1887,689;-520,021;0,144;0,005;0,110;0,093;RRR 1.5in;8,9;991;30;'26.11.2024 10:29:53.216;;
5;-34519,538;10140,087;-1231,527;0,325;0,069;0,233;0,216;RRR 1.5in;9,3;991;31;'26.11.2024 10:35:11.586;;
6;-20559,696;25805,469;-864,004;0,131;0,072;0,058;0,093;RRR 1.5in;9,4;991;31;'26.11.2024 10:40:01.466;;
7;-27556,545;37311,577;-1072,084;0,434;0,227;0,168;0,330;RRR 1.5in;9,7;991;31;'26.11.2024 10:45:23.517;;
8;-12221,777;46807,317;-798,893;0,372;0,232;0,061;0,284;RRR 1.5in;9,6;991;31;'26.11.2024 10:49:57.186;;
9;-2694,768;30022,045;-900,831;0,183;0,086;0,011;0,161;RRR 1.5in;9,8;991;31;'26.11.2024 10:53:29.856;;
10;-13970,334;17366,528;-877,315;0,219;0,117;0,094;0,160;RRR 1.5in;9,7;991;31;'26.11.2024 10:56:32.146;;
