Numéro de point;DateTime [s];X [m];Y [m];Z [m];SigmaX [m];SigmaY [m];SigmaZ [m]
0;2024-11-26 15:28:36.439;1733455,3391274014;5237861,854509821;282,34372866665336;0,012443982699869101;0,005842442172926093;0,03950640123812085
1;2024-11-26 15:28:36.440;1733455,3389323505;5237861,85449185;282,34365119988155;0,012505805678026654;0,0059002486246189706;0,03934977502194496
2;2024-11-26 15:28:36.441;1733455,3389615081;5237861,85441348;282,3426398465128;0,01265116300528188;0,005847226741519951;0,03904503793701036
3;2024-11-26 15:28:36.442;1733455,3391241864;5237861,854448642;282,3434844449496;0,012704181799715605;0,005840408706239142;0,039344887974677306
4;2024-11-26 15:28:36.443;1733455,3390588074;5237861,854488198;282,3434447239771;0,012450318590725042;0,005806818045145861;0,039631503751497245
5;2024-11-26 15:28:36.444;1733455,3389240494;5237861,854444878;282,3434892474435;0,01253771275444121;0,0058733328802444305;0,0393778030262436
6;2024-11-26 15:28:36.445;1733455,3390358833;5237861,854469051;282,34359623182405;0,012708455300590104;0,005868836261446913;0,03945343676456222
7;2024-11-26 15:28:36.446;1733455,3390966428;5237861,854529597;282,3432534287952;0,012493274183351211;0,005834968359861817;0,03900093077889184
8;2024-11-26 15:28:36.447;1733455,338886882;5237861,8544784635;282,34389484442954;0,012531487081664816;0,005855444268384112;0,03893275158234367
9;2024-11-26 15:28:36.448;1733455,3392121715;5237861,854547026;282,344445173366;0,012551611823464391;0,005804559704282817;0,039047458435171135
10;2024-11-26 15:28:36.449;1733455,3391619613;5237861,854505195;282,34328797691853;0,012487658120878507;0,005875874957239;0,03897022417287917
11;2024-11-26 15:28:36.450;1733455,3387995334;5237861,854455249;282,34398157390103;0,01243723927969388;0,005840167554876154;0,03947412357422968
12;2024-11-26 15:28:36.451;1733455,338946003;5237861,854498862;282,3435717669494;0,012671197410051733;0,0058100820924307335;0,03920261732153602
13;2024-11-26 15:28:36.452;1733455,3390876662;5237861,854405102;282,34334479277766;0,012588019367168152;0,005848304693320368;0,03935742776957849
14;2024-11-26 15:28:36.453;1733455,339190143;5237861,854390302;282,3425182227083;0,012669543522041887;0,005845619848083041;0,03910583162174754
15;2024-11-26 15:28:36.454;1733455,3387909986;5237861,8543387465;282,34370507636413;0,012536592486006757;0,005830467770175067;0,039822716684981864
16;2024-11-26 15:28:36.455;1733455,338797923;5237861,854368018;282,34325050736766;0,01270409884663966;0,005926046893847774;0,0398500992915835
17;2024-11-26 15:28:36.456;1733455,3391555054;5237861,854424865;282,343085826893;0,012523111650306578;0,005852690851647908;0,03932606052815863
18;2024-11-26 15:28:36.457;1733455,3389165467;5237861,854448397;282,34283336612447;0,012441402223599574;0,005862996627322729;0,03928207282319693
19;2024-11-26 15:28:36.458;1733455,3390944859;5237861,8545058975;282,34328214023486;0,01265743490250341;0,005829191415618192;0,039705342553136826
20;2024-11-26 15:28:36.459;1733455,3390497365;5237861,854433352;282,3430517187058;0,0125509844999546;0,005834519371444557;0,03944530402407799
21;2024-11-26 15:28:36.460;1733455,3389365613;5237861,854481332;282,34359213923597;0,01259374070413994;0,005905360510687492;0,039212963679287026
22;2024-11-26 15:28:36.461;1733455,3390618896;5237861,854452565;282,3428757239531;0,012350650550192806;0,005840946807356509;0,039631370716317144
23;2024-11-26 15:28:36.462;1733455,3388765277;5237861,854396801;282,34313693976264;0,012552666165772974;0,005832195850477921;0,03946030138301784
24;2024-11-26 15:28:36.463;1733455,338990533;5237861,854501176;282,34297073352644;0,012440467712368272;0,005875854818753397;0,03959080465866092
25;2024-11-26 15:28:36.464;1733455,3393385704;5237861,854393146;282,34278180813607;0,012555614577207821;0,005887116279284877;0,03944232574392541
26;2024-11-26 15:28:36.465;1733455,3390638274;5237861,854545226;282,34381714695996;0,012468705787914574;0,005784469558399326;0,038811544137980256
27;2024-11-26 15:28:36.466;1733455,3390207745;5237861,854442722;282,3433854523867;0,012502586671189253;0,005910590918938423;0,039499775923798434
28;2024-11-26 15:28:36.467;1733455,3389452202;5237861,854424106;282,3437423349506;0,012501573966763947;0,005807819226686491;0,03910817893857774
29;2024-11-26 15:28:36.468;1733455,3387351586;5237861,854390214;282,3435674942189;0,012458249653740195;0,0058559916985553035;0,03899817288507847
30;2024-11-26 15:28:36.469;1733455,3390780296;5237861,854443149;282,34382852585003;0,012851193065513326;0,005902133011410721;0,03960026528310761
31;2024-11-26 15:28:36.470;1733455,3389547234;5237861,854349753;282,34270581122155;0,012545704614038243;0,00582891056077363;0,03911626948160558
