Point coordinates for job mesures loc avec TSCF

    Point        East        North       Elev            Code         HzPrec  VtPrec  PDOP Sats
RTCM0000      1733407.443  5237904.958  289.156                             ?       ?    ?    ?
REF GNSS 1.1  1733453.012  5237877.387  281.220                         0.010   0.007  1.1   25
REF GNSS 1.2  1733453.015  5237877.383  281.220                         0.010   0.006  1.1   25
REF GNSS 1.3  1733453.012  5237877.385  281.222                         0.010   0.006  1.1   25
REF GNSS 1.4  1733453.014  5237877.385  281.222                         0.010   0.006  1.1   25
REF GNSS 1.5  1733453.008  5237877.391  281.232                         0.006   0.008  1.1   25
REF GNSS 2.1  1733451.625  5237876.832  280.580                         0.005   0.007  1.1   25
REF GNSS 2.2  1733451.625  5237876.829  280.581                         0.006   0.008  1.1   25
REF GNSS 2.3  1733451.626  5237876.830  280.582                         0.005   0.007  1.1   25
REF GNSS 2.4  1733451.627  5237876.830  280.583                         0.006   0.008  1.1   25
REF GNSS 2.5  1733451.626  5237876.832  280.589                         0.006   0.008  1.1   25
REF GNSS 3.1  1733454.785  5237866.782  280.962                         0.005   0.007  1.1   25
REF GNSS 3.2  1733454.784  5237866.783  280.964                         0.006   0.008  1.1   24
REF GNSS 3.3  1733454.783  5237866.779  280.962                         0.007   0.010  1.1   24
REF GNSS 3.4  1733454.784  5237866.781  280.958                         0.005   0.008  1.1   24
REF GNSS 3.5  1733454.785  5237866.779  280.961                         0.006   0.009  1.1   24
REF GNSS 4.1  1733460.608  5237859.295  280.891                         0.005   0.007  1.1   24
REF GNSS 4.2  1733460.608  5237859.294  280.898                         0.006   0.007  1.1   24
REF GNSS 4.3  1733460.606  5237859.292  280.896                         0.006   0.008  1.1   25
REF GNSS 4.4  1733460.608  5237859.291  280.898                         0.006   0.008  1.0   25
REF GNSS 4.5  1733460.605  5237859.292  280.895                         0.006   0.007  1.0   25
REF GNSS 5.1  1733449.120  5237863.619  280.170                         0.005   0.006  1.0   26
REF GNSS 5.2  1733449.117  5237863.619  280.169                         0.005   0.006  1.0   26
REF GNSS 5.3  1733449.115  5237863.616  280.171                         0.005   0.007  1.0   26
REF GNSS 5.4  1733449.117  5237863.623  280.171                         0.005   0.007  1.0   26
REF GNSS 5.5  1733449.112  5237863.617  280.174                         0.005   0.006  1.0   26
REF GNSS 6.1  1733428.813  5237868.856  280.531                         0.006   0.008  0.9   27
REF GNSS 6.2  1733428.812  5237868.860  280.535                         0.005   0.007  0.9   27
REF GNSS 6.3  1733428.813  5237868.858  280.535                         0.006   0.008  0.9   27
REF GNSS 6.4  1733428.811  5237868.859  280.535                         0.005   0.006  0.9   27
REF GNSS 6.5  1733428.812  5237868.859  280.534                         0.006   0.007  0.9   27
REF GNSS 7.1  1733421.778  5237857.380  280.328                         0.006   0.008  0.9   27
REF GNSS 7.2  1733421.780  5237857.378  280.330                         0.006   0.007  0.9   27
REF GNSS 7.3  1733421.779  5237857.383  280.328                         0.006   0.007  0.9   27
REF GNSS 7.4  1733421.780  5237857.381  280.327                         0.006   0.007  0.9   27
REF GNSS 7.5  1733421.780  5237857.380  280.330                         0.006   0.007  0.9   27
REF GNSS 8.1  1733406.319  5237866.674  280.594                         0.005   0.006  0.9   27
REF GNSS 8.2  1733406.321  5237866.674  280.589                         0.006   0.007  0.9   27
REF GNSS 8.3  1733406.317  5237866.670  280.598                         0.005   0.006  0.9   27
REF GNSS 8.4  1733406.319  5237866.671  280.598                         0.006   0.007  0.9   27
REF GNSS 8.5  1733406.321  5237866.670  280.595                         0.005   0.006  0.9   27
REF GNSS 9.1  1733416.885  5237882.822  280.494                         0.008   0.013  1.3   21
REF GNSS 9.2  1733416.887  5237882.822  280.500                         0.008   0.013  1.2   23
REF GNSS 9.3  1733416.887  5237882.821  280.497                         0.010   0.016  1.3   22
REF GNSS 9.4  1733416.884  5237882.818  280.495                         0.008   0.013  1.5   20
REF GNSS 9.5  1733416.882  5237882.816  280.494                         0.008   0.013  1.5   20
REF GNSS 10.1  1733433.308  5237878.577  280.511                         0.008   0.012  1.0   26
REF GNSS 10.2  1733433.308  5237878.577  280.509                         0.008   0.011  1.1   25
REF GNSS 10.3  1733433.309  5237878.573  280.512                         0.007   0.010  1.1   24
REF GNSS 10.4  1733433.311  5237878.575  280.514                         0.007   0.011  1.0   25
REF GNSS 10.5  1733433.312  5237878.576  280.515                         0.008   0.011  1.0   24
