Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;-38919,127;5411,053;938,414;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.439;;
2;-38919,127;5411,055;938,424;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.440;;
3;-38919,127;5411,057;938,423;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.441;;
4;-38919,128;5411,054;938,421;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.442;;
5;-38919,130;5411,047;938,419;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.443;;
6;-38919,128;5411,058;938,412;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.444;;
7;-38919,127;5411,068;938,420;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.445;;
8;-38919,126;5411,081;938,422;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.446;;
9;-38919,126;5411,079;938,424;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.447;;
10;-38919,127;5411,075;938,435;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.448;;
11;-38919,127;5411,073;938,430;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.449;;
12;-38919,127;5411,076;938,423;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.450;;
13;-38919,127;5411,079;938,417;0,000;0,000;0,000;0,000;RRR 1.5in;12,2;990;33;'26.11.2024 15:28:36.451;;
